window_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,clean_entry_prob,max_exit_prob
0,2023-03-31,61,269,call,903.0000570714474,time_stop,208,0.3483101427555084,
1,2023-04-12,39,269,call,-622.5540053015459,time_stop,230,0.2654634416103363,
1,2023-04-13,58,269,call,1265.9170303984477,time_stop,211,0.2699807584285736,
1,2023-04-14,78,269,call,-1051.2396974547926,time_stop,191,0.2473786473274231,
1,2023-04-17,50,269,call,-1074.1000382356347,time_stop,219,0.2733592391014099,
1,2023-04-18,33,269,call,-607.4630496515907,time_stop,236,0.2741110026836395,
1,2023-04-19,52,269,call,1132.037030862061,time_stop,217,0.2775658965110779,
1,2023-04-20,94,269,call,331.3872897606817,time_stop,175,0.2708362936973572,
1,2023-04-21,112,269,call,403.1000190801919,time_stop,157,0.26823633909225464,
1,2023-04-24,50,269,call,-694.8599950948358,time_stop,219,0.2706458866596222,
1,2023-04-25,87,269,call,-927.1599843615294,time_stop,182,0.2717554569244385,
1,2023-04-26,96,269,call,-770.0657903440297,time_stop,173,0.24361178278923035,
1,2023-04-27,47,269,call,1713.6000699625774,time_stop,222,0.27078133821487427,
1,2023-04-28,120,269,call,373.63329603473346,time_stop,149,0.26793742179870605,
1,2023-05-01,97,269,call,19.576037773132327,time_stop,172,0.2767082154750824,
1,2023-05-02,32,269,call,-1154.7100444575399,time_stop,237,0.24799662828445435,
1,2023-05-03,50,269,call,0.1699547878652794,time_stop,219,0.20492683351039886,
1,2023-05-08,116,269,call,153.4000202178955,time_stop,153,0.2694743275642395,
1,2023-05-09,81,269,call,121.74197527958499,time_stop,188,0.26547473669052124,
1,2023-05-11,80,269,call,-154.4774806969338,time_stop,189,0.24286174774169922,
1,2023-05-12,76,269,call,-962.4400019423167,time_stop,193,0.27082934975624084,
1,2023-05-15,38,269,call,990.3125401511788,time_stop,231,0.26390984654426575,
1,2023-05-16,89,269,call,54.99992424249649,time_stop,180,0.2541123628616333,
1,2023-05-17,79,269,call,3723.339873738438,time_stop,190,0.2769957184791565,
1,2023-05-18,83,269,call,-960.1500283893197,time_stop,186,0.26316264271736145,
1,2023-05-19,113,269,call,-988.0054533012346,time_stop,156,0.2521199882030487,
1,2023-05-22,34,269,call,-207.0796252944197,time_stop,235,0.2646041810512543,
1,2023-05-23,116,269,call,-1084.0999564580618,time_stop,153,0.26203927397727966,
1,2023-05-24,117,269,call,-518.1192348767585,time_stop,152,0.24995402991771698,
1,2023-05-26,53,269,call,493.3798585440327,time_stop,216,0.2689545750617981,
1,2023-05-30,98,269,call,-778.8977416997606,time_stop,171,0.2685353457927704,
1,2023-05-31,112,269,call,1025.9999444708228,time_stop,157,0.2689959704875946,
1,2023-06-01,37,269,call,3231.5998504300915,time_stop,232,0.2666948735713959,
1,2023-06-02,115,269,call,335.6400352871418,time_stop,154,0.28764158487319946,
1,2023-06-05,46,269,call,99.64616560912434,time_stop,223,0.2616501450538635,
1,2023-06-06,120,269,call,-793.8976882249117,time_stop,149,0.2293241024017334,
1,2023-06-07,111,269,call,-782.0074109112784,time_stop,158,0.26796117424964905,
1,2023-06-08,31,269,call,1172.1000393532217,time_stop,238,0.2310406118631363,
1,2023-06-09,90,269,call,-712.5692103478198,time_stop,179,0.2613648772239685,
1,2023-06-12,42,269,call,923.3499248042702,time_stop,227,0.2174706757068634,
1,2023-06-13,47,269,call,1091.335076455921,time_stop,222,0.22524987161159515,
1,2023-06-14,81,269,call,-269.47999774336813,time_stop,188,0.16384270787239075,
1,2023-06-15,80,269,call,1696.52707798948,time_stop,189,0.21569158136844635,
1,2023-06-16,80,269,call,-357.3999814152718,time_stop,189,0.221194788813591,
1,2023-06-20,49,269,call,622.9274997264147,time_stop,220,0.22758281230926514,
1,2023-06-21,103,269,call,618.8058879824079,time_stop,166,0.2172657996416092,
1,2023-06-22,76,269,call,787.0120772908583,time_stop,193,0.21535328030586243,
1,2023-06-23,109,269,call,1110.470027764067,time_stop,160,0.21761800348758698,
1,2023-06-26,114,269,call,-358.83682488877525,time_stop,155,0.2498350888490677,
1,2023-06-27,43,268,call,3502.381832257172,time_stop,225,0.21683959662914276,
1,2023-06-28,56,269,call,-264.1918492730536,time_stop,213,0.2212052196264267,
1,2023-06-29,102,269,call,-221.59999992102382,time_stop,167,0.21883633732795715,
1,2023-06-30,90,269,call,565.301538069569,time_stop,179,0.21402792632579803,
1,2023-07-03,55,209,call,338.33998548969623,time_stop,154,0.22972005605697632,
1,2023-07-05,111,269,call,-320.63002631150187,time_stop,158,0.20795106887817383,
1,2023-07-06,90,269,call,1839.5499439638106,time_stop,179,0.27058345079421997,
1,2023-07-07,97,268,call,1427.2701033665985,time_stop,171,0.22267889976501465,
2,2023-08-29,107,260,call,1355.7200535523891,model,153,0.24968644976615906,0.9851367813723964
2,2023-09-25,115,268,call,-255.36490212015065,model,153,0.26670336723327637,0.9745505285731383
2,2023-09-28,119,235,call,150.80398630909622,model,116,0.24628329277038574,0.9808035025681541
3,2023-10-04,96,261,call,320.22700343784237,model,165,0.31933367252349854,0.6576250510253099
3,2023-10-05,94,127,put,-462.20452808204925,model,33,0.24888959527015686,0.9491573687456017
3,2023-10-06,102,123,call,975.3640050885707,model,21,0.3024178445339203,0.955718680924269
3,2023-10-11,58,210,call,-624.3416949374781,model,152,0.3381292223930359,0.9414071651380539
3,2023-10-16,105,160,call,-527.7172881705369,model,55,0.3522104024887085,0.9686957595121873
3,2023-10-24,99,165,call,-650.4807499641408,model,66,0.35564902424812317,0.9455227330101815
3,2023-10-25,51,235,call,-743.6333613702544,model,184,0.2992754280567169,0.92805303155994
3,2023-10-26,118,230,put,1014.5666290928921,model,112,0.2212163507938385,0.9521547388934135
3,2023-10-27,115,120,put,77.45201808828115,model,5,0.2285631150007248,0.9151505804204793
3,2023-10-31,111,160,call,176.57868386335946,model,49,0.30598190426826477,0.4998170121231933
3,2023-11-02,103,205,call,149.08850639254126,model,102,0.37289854884147644,0.9668511041154544
3,2023-11-06,58,210,call,-512.0999617628753,model,152,0.38747209310531616,0.9563390112475157
3,2023-11-07,114,135,call,97.81789157142293,model,21,0.4095117747783661,0.9501422536683594
3,2023-11-08,85,269,put,-103.76953585180877,model,184,0.27693498134613037,0.9127883438613464
3,2023-11-09,94,210,call,123.89002286143602,model,116,0.38512298464775085,0.8994462598620391
3,2023-11-10,115,266,call,2250.4398155635595,time_stop_fallback,151,0.36811670660972595,
3,2023-11-13,85,155,call,876.8958321484225,model,70,0.36319729685783386,0.9598452305049548
3,2023-11-16,57,240,call,-565.804759696208,model,183,0.38209226727485657,0.9459692395987913
3,2023-11-17,118,165,call,634.3399855791032,model,47,0.38616907596588135,0.9398944168120872
3,2023-11-20,115,183,call,-21.999999530613422,model,68,0.448126882314682,0.5338418743764423
3,2023-11-21,95,210,call,392.5999809443951,model,115,0.4208552837371826,0.8769641166713951
3,2023-11-22,83,160,call,959.8112954149533,model,77,0.4111775755882263,0.8794493719028779
3,2023-11-24,31,171,call,-490.08375437669156,model,140,0.49683159589767456,0.2738779216503978
3,2023-11-27,87,225,call,272.000000603497,model,138,0.5011405348777771,0.8663033505082671
3,2023-11-28,69,165,call,1080.5949656069279,model,96,0.4539986848831177,0.9653377989353177
3,2023-11-29,96,220,call,-260.9999614059925,model,124,0.37273460626602173,0.9412354694336728
3,2023-12-05,106,140,call,-193.17812884254465,model,34,0.425348699092865,0.9205410473303376
3,2023-12-06,112,120,call,-43.26927262888509,model,8,0.44282567501068115,0.9419879264980748
3,2023-12-07,61,268,call,-57.82341573849179,model,207,0.40135109424591064,0.915872880590569
3,2023-12-08,94,269,call,-453.133264522627,model,175,0.41318804025650024,0.8768929624499334
3,2023-12-11,96,100,call,-264.70191731367976,model,4,0.44703957438468933,0.9836508109874676
3,2023-12-12,113,155,call,-182.40003728717568,model,42,0.44329833984375,0.9864367366032981
3,2023-12-18,120,210,call,251.6510966781002,model,90,0.48634234070777893,0.9236150906286502
3,2023-12-19,93,120,call,141.30995905451476,model,27,0.461502343416214,0.9578791911681118
3,2023-12-20,82,120,call,-111.63887239868447,model,38,0.45076555013656616,0.9491047449409048
3,2023-12-26,79,105,call,50.84002358078956,model,26,0.4342886209487915,0.9722437597409244
3,2023-12-27,36,40,call,25.100000915676347,model,4,0.3833658695220947,0.9609517104088184
5,2024-03-26,116,150,call,6.309997089728704,model,34,0.40031951665878296,0.852862522932822
5,2024-04-01,44,264,call,-1088.8462575430924,model,220,0.38003093004226685,0.945608638509343
5,2024-04-03,104,185,call,-232.5000376664102,model,81,0.3567901849746704,0.9459215526987563
5,2024-04-04,74,265,call,-468.7000475741923,model,191,0.3565569818019867,0.9226696603764711
5,2024-05-13,42,264,call,-868.920021893382,model,222,0.3739972710609436,0.9637425846643647
5,2024-05-16,72,100,call,367.99990905076265,model,28,0.3795456886291504,0.9731732343415298
5,2024-05-17,80,225,call,-394.9599743643403,model,145,0.37542301416397095,0.9303876637412871
5,2024-05-20,116,235,call,-555.6581210345865,model,119,0.37284281849861145,0.9429109212438704
5,2024-05-21,48,63,call,254.0901004940709,model,15,0.4023609161376953,0.9574493961681206
5,2024-05-22,53,245,call,-381.199942137301,model,192,0.4002928137779236,0.9388001662613519
5,2024-05-28,53,165,call,226.39667129982416,model,112,0.42340266704559326,0.9448787323364827
5,2024-05-30,120,225,put,-484.61078023482236,model,105,0.37759724259376526,0.9663890765542328
5,2024-06-10,115,145,call,458.11281171256826,model,30,0.3605863153934479,0.9600794653097228
5,2024-06-17,118,188,call,1270.4415529840287,model,70,0.36009472608566284,0.9585313865959094
6,2024-06-25,57,266,call,-341.59997989386324,model,209,0.38508927822113037,0.9906548918094519
6,2024-06-26,52,267,call,-112.51668596416701,model,215,0.3842722177505493,0.9884717885396161
6,2024-06-28,72,216,put,1951.6891531054905,model,144,0.38219544291496277,0.994071199702769
6,2024-07-01,111,265,call,336.93998590245843,model,154,0.38885125517845154,0.9896334132322461
6,2024-07-03,103,209,call,1170.8170384967,time_stop_fallback,106,0.5212091207504272,
6,2024-07-05,100,253,call,1101.31709052695,model,153,0.3835468292236328,0.9944199791481568
6,2024-07-10,117,263,call,1987.12980370678,model,146,0.40871432423591614,0.9911189449305282
6,2024-07-16,58,267,call,-186.59411262462396,model,209,0.41405484080314636,0.9895876367385438
6,2024-07-18,52,234,call,-1215.0100228262693,time_stop_fallback,182,0.3879036009311676,
6,2024-07-19,88,170,call,-407.902517531753,model,82,0.4016471207141876,0.9859663416826435
6,2024-07-23,73,170,call,132.54993518197543,model,97,0.3851796090602875,0.9888243395954115
6,2024-07-24,94,255,call,-537.9594980643743,model,161,0.39979517459869385,0.9900834520914813
6,2024-07-26,120,160,call,1396.8823882551756,model,40,0.378791868686676,0.9929905951142866
6,2024-07-30,90,200,call,-950.65038260911,model,110,0.40144070982933044,0.9885701069780206
6,2024-07-31,118,210,put,57.5253832290995,model,92,0.3536471128463745,0.9861919139229938
6,2024-08-01,59,180,call,-886.2308112302651,model,121,0.37973082065582275,0.32209432778007213
6,2024-08-07,99,131,call,-553.2522637709087,model,32,0.3699866533279419,0.3744740553519991
6,2024-08-13,111,258,call,687.5998866423964,model,147,0.39917126297950745,0.9893112392139046
6,2024-08-14,55,60,call,-41.84551046272278,model,5,0.38376152515411377,0.989277888748053
6,2024-08-15,60,267,call,1037.8901883810154,model,207,0.3916381597518921,0.9874067065735085
6,2024-08-16,104,260,call,674.3619309700749,model,156,0.3880150616168976,0.36356652837184333
6,2024-08-22,76,200,call,-849.4663115481918,model,124,0.4054105579853058,0.4070330389401933
6,2024-08-23,103,190,call,-946.5052711215458,model,87,0.38968518376350403,0.9909048030581945
6,2024-08-26,61,215,call,-371.37503831088543,model,154,0.40410956740379333,0.9916243615010837
6,2024-09-03,67,220,call,-777.215000776574,model,153,0.4036082327365875,0.9905833371194808
6,2024-09-04,68,150,call,-738.2045837451111,model,82,0.3817383348941803,0.9932866730346993
6,2024-09-05,72,100,call,-962.6069152488282,model,28,0.3927878141403198,0.9908136296704982
6,2024-09-09,53,250,call,661.7488086192396,model,197,0.38816753029823303,0.9933546385675229
6,2024-09-10,120,145,call,-1020.1567536592885,model,25,0.4002506732940674,0.9884733970986928
6,2024-09-13,117,262,call,170.51193485093899,model,145,0.39095544815063477,0.9902687404343826
6,2024-09-16,55,267,call,-279.75997780293494,model,212,0.394387423992157,0.9901435541991676
7,2024-09-17,57,195,call,-1150.4126969668996,model,138,0.4847828149795532,0.9578958834130359
7,2024-09-18,70,230,call,-5.7058068215847015,model,160,0.6308721899986267,0.9220000178450387
7,2024-09-19,60,256,put,-791.5230851745663,model,196,0.42060139775276184,0.9523390833040725
7,2024-09-20,58,100,call,-557.6000090703368,model,42,0.5065912008285522,0.9702329758538782
7,2024-09-23,80,145,call,29.66408107154661,model,65,0.4738527834415436,0.9480142037698336
7,2024-09-24,88,245,call,814.3821488238705,model,157,0.42934679985046387,0.9537201313704817
7,2024-09-25,38,130,call,-563.7600532153249,model,92,0.3951377272605896,0.9662776321859545
7,2024-09-26,73,150,call,-599.6596573289052,model,77,0.42428073287010193,0.977148761509867
7,2024-09-27,57,269,put,854.1079846123308,model,212,0.385867178440094,0.9518626806374522
7,2024-09-30,61,269,call,-37.37778710153654,model,208,0.49272358417510986,0.9640021624555448
7,2024-10-01,39,51,call,-98.79901954918806,model,12,0.501073956489563,0.945291879883639
7,2024-10-02,61,140,call,595.1249440741359,model,79,0.5094659328460693,0.9706418828472159
7,2024-10-03,84,85,call,-154.3000187434256,model,1,0.5016050934791565,0.9677701571895851
7,2024-10-04,92,100,put,-101.88063327931192,model,8,0.46729686856269836,0.9473858681557975
7,2024-10-07,51,269,call,-889.5731545468476,model,218,0.46855559945106506,0.9294261980501891
7,2024-10-08,61,195,call,491.70555197083326,model,134,0.4987422823905945,0.9662722009163444
7,2024-10-09,90,200,call,429.29370450345823,model,110,0.527464747428894,0.9554013146774871
7,2024-10-10,58,190,call,272.98871134837555,model,132,0.49228349328041077,0.9556259400691566
7,2024-10-11,88,155,call,-55.690247170165485,model,67,0.4943055808544159,0.9754657417399665
7,2024-10-14,56,215,call,160.78215831813247,model,159,0.5042651891708374,0.9511877620017452
7,2024-10-15,107,190,call,-511.59272412210703,model,83,0.45189639925956726,0.9761687555279065
7,2024-10-16,55,225,call,-33.523218191387926,model,170,0.49123936891555786,0.9796622509838984
7,2024-10-17,105,205,call,369.258556682586,model,100,0.4203808903694153,0.9801275650843977
7,2024-10-18,120,205,call,527.629971184656,model,85,0.4310449957847595,0.9340976719613113
7,2024-10-21,47,225,call,-1008.8410814854072,model,178,0.4651467800140381,0.9711361641922379
7,2024-10-22,59,268,call,1710.9716750237646,model,209,0.4626069962978363,0.9598481605937857
7,2024-10-23,64,150,call,-758.1673095274356,model,86,0.4588615298271179,0.5883856086548159
7,2024-10-24,97,110,call,376.887486627597,model,13,0.4268336296081543,0.939244967008626
7,2024-10-25,99,240,call,-1013.818906325608,model,141,0.4424903392791748,0.3533213784374678
7,2024-10-28,61,120,call,-498.9397333780586,model,59,0.438524454832077,0.9786727471890955
7,2024-10-29,53,175,call,75.35786553650341,model,122,0.42729946970939636,0.9666871833359308
7,2024-10-30,64,230,call,-679.0000377446413,model,166,0.4599333107471466,0.9548016132162007
7,2024-10-31,53,224,call,-916.7377838558494,model,171,0.4975300133228302,0.9658429266077069
7,2024-11-01,90,190,call,-508.05549236801915,model,100,0.5053405165672302,0.951556092472983
7,2024-11-04,51,264,call,-920.3499709736557,model,213,0.49765434861183167,0.9501848085617742
7,2024-11-05,63,220,call,1003.5326145906816,model,157,0.5191381573677063,0.9692330348725533
7,2024-11-06,32,245,call,1076.5208363309503,model,213,0.3962799608707428,0.9503591455550318
7,2024-11-07,80,180,put,-312.0999617628753,model,100,0.5528355836868286,0.9617897667634849
7,2024-11-08,66,130,call,139.0000757072121,model,64,0.4964715540409088,0.959845135020273
7,2024-11-11,64,234,call,-899.5539158419814,model,170,0.4447634220123291,0.9750073385062207
7,2024-11-12,110,242,put,890.7142879217863,model,132,0.34950897097587585,0.983148176332863
7,2024-11-13,64,265,put,-1065.8749820869418,model,201,0.40190640091896057,0.9584038380874992
7,2024-11-14,59,195,call,-904.2620181122189,model,136,0.42863771319389343,0.9369399926046665
7,2024-11-15,108,120,put,-185.91540625691414,model,12,0.36049291491508484,0.9653987608136385
7,2024-11-18,67,135,call,781.1733953640859,model,68,0.49701428413391113,0.9748275508893754
7,2024-11-19,59,216,put,-833.2647058895844,time_stop_fallback,157,0.4025959074497223,
7,2024-11-20,90,100,call,-490.94521647691727,model,10,0.4657233953475952,0.9766943129682479
7,2024-11-21,49,50,call,1.4411887358875006,model,1,0.5431057810783386,0.9750536829132429
7,2024-11-22,78,235,call,-64.65171423591498,model,157,0.451168954372406,0.9448257872941666
7,2024-11-25,99,225,call,-437.8434445083807,model,126,0.41720810532569885,0.9495894464244913
7,2024-11-26,93,215,call,205.2800651577115,model,122,0.45229271054267883,0.9783451165508256
7,2024-11-27,101,254,put,-578.6435299101803,model,153,0.33598971366882324,0.9400024766904466
7,2024-11-29,33,105,call,992.7128342376013,model,72,0.48785296082496643,0.8039636446015866
7,2024-12-02,79,175,call,221.5000006146729,model,96,0.45275601744651794,0.980416926534227
7,2024-12-03,81,224,call,521.1000954188406,model,143,0.4052458703517914,0.9841712299319629
7,2024-12-04,115,230,call,-219.96000333964824,model,115,0.5013947486877441,0.9730993403895977
7,2024-12-05,34,225,call,-220.6621087809463,model,191,0.4219502806663513,0.9357875808040581
7,2024-12-06,70,105,call,-457.08891641011945,model,35,0.4464315176010132,0.9878084161605819
7,2024-12-09,112,125,put,-327.31118786744776,model,13,0.36815255880355835,0.9862381213589174
7,2024-12-10,65,251,put,426.79855274643614,model,186,0.36215925216674805,0.38385322307799463
8,2024-12-11,82,240,call,1214.420072208643,model,158,0.40910157561302185,0.9576800279786588
8,2024-12-12,110,170,call,-180.1456886217432,model,60,0.3943173587322235,0.9587564382457676
8,2024-12-13,67,125,call,-357.36998800851404,model,58,0.4112590253353119,0.980242602895725
8,2024-12-16,110,240,call,696.100019236654,model,130,0.4373883903026581,0.9718752123006072
8,2024-12-17,59,235,put,-832.895160753566,model,176,0.38371747732162476,0.9607364142122633
8,2024-12-18,101,102,call,-43.799963034813615,model,1,0.3839356601238251,0.9567514820733333
8,2024-12-19,49,90,call,-402.8399691915512,model,41,0.3523923456668854,0.9537944591239705
8,2024-12-23,88,89,call,-69.12501141383791,model,1,0.3952144384384155,0.668114259883916
8,2024-12-24,58,140,call,1085.279932820499,model,82,0.3976707458496094,0.6943528380353207
8,2024-12-26,113,175,call,440.6999813683331,model,62,0.3871963918209076,0.956410824924358
8,2024-12-30,74,201,call,3029.911636692096,model,127,0.3423767387866974,0.9522127970808996
8,2025-01-02,109,255,call,-1336.5027405148292,model,146,0.39169278740882874,0.960365574642673
8,2025-01-06,113,240,call,-947.1700039542466,model,127,0.38183197379112244,0.6500075734181945
8,2025-01-08,80,150,call,563.0519273090142,model,70,0.37789252400398254,0.9612719275275668
8,2025-01-10,45,264,call,1509.7000016413629,model,219,0.3398410379886627,0.9412105137892951
8,2025-01-15,93,121,put,704.024331798459,model,28,0.3445923924446106,0.9586970948554385
8,2025-01-17,101,235,call,454.2850605949999,model,134,0.37468475103378296,0.9704897537370742
8,2025-01-22,75,160,call,459.35520386219366,model,85,0.4129914939403534,0.9505005502807728
8,2025-01-23,64,235,call,1412.65376990756,model,171,0.3977454900741577,0.9726660956985165
8,2025-01-24,101,176,call,88.36112831994637,model,75,0.4022943377494812,0.8996202042009647
8,2025-01-27,68,268,call,-1085.159312012185,model,200,0.33531084656715393,0.9141875800980449
8,2025-01-29,116,125,call,52.029950677677995,model,9,0.45942068099975586,0.9650988814295451
8,2025-01-30,104,162,call,1258.2082392860934,model,58,0.4227006733417511,0.9869128596544934
8,2025-01-31,105,225,call,-557.3999611049891,model,120,0.3827729821205139,0.9635467898336486
8,2025-02-03,46,265,call,5011.922033580831,time_stop_fallback,219,0.32725438475608826,
8,2025-02-05,49,250,call,2150.79504127775,model,201,0.3649563491344452,0.9768626488513752
8,2025-02-06,101,175,call,-233.29994247183203,model,74,0.4236758053302765,0.9605276118107144
8,2025-02-07,74,80,call,157.11335453763604,model,6,0.3712577521800995,0.9427262636888628
8,2025-02-10,74,259,put,-509.53195963419927,model,185,0.370755136013031,0.9553457742424907
8,2025-02-11,100,116,call,43.50007686391473,model,16,0.389435738325119,0.9637145734045305
8,2025-02-12,88,95,call,-296.0699534251541,model,7,0.35139063000679016,0.9748735241783602
8,2025-02-13,96,205,call,-542.2817146337744,model,109,0.3693186044692993,0.9512591629226623
8,2025-02-14,51,60,call,-103.15585237897074,model,9,0.38428831100463867,0.9624650392191528
8,2025-02-18,68,102,call,207.07366826876432,model,34,0.3700973093509674,0.9630978101524956
8,2025-02-19,119,170,call,138.95005758963526,model,51,0.3937642574310303,0.9466570386736362
8,2025-03-05,100,215,call,2022.1083013411824,model,115,0.4268638789653778,0.9789089114393985
8,2025-03-07,100,264,call,512.8635803081772,model,164,0.42947918176651,0.9525038692688319
8,2025-03-10,56,253,call,-994.2803572865428,model,197,0.3491959869861603,0.9293049784933464
9,2025-04-03,82,180,call,1377.5254601359882,model,98,0.37629637122154236,0.9559691730465909
9,2025-04-11,75,225,call,99.50821718295708,model,150,0.39030760526657104,0.9645310323897361
10,2025-06-06,96,105,call,-409.48504803096193,model,9,0.35959407687187195,0.9645617609970543
10,2025-06-09,111,155,call,196.2999623388052,model,44,0.3533616065979004,0.9631618005088886
10,2025-06-10,52,110,call,101.1199737611413,model,58,0.33399054408073425,0.9660258799408967
10,2025-06-11,88,96,call,-4.156705139180005,model,8,0.36851418018341064,0.9785361830314264
10,2025-06-12,91,110,call,-305.2641236271365,model,19,0.32614532113075256,0.9779394536566864
10,2025-06-13,60,175,call,2799.7895869493746,model,115,0.30501827597618103,0.9742645124930133
10,2025-06-16,104,115,call,19.190028679149208,model,11,0.31468090415000916,0.9774660265338698
10,2025-06-17,118,136,call,155.40002017319202,model,18,0.341301292181015,0.9647358735833559
10,2025-06-18,117,145,call,83.45857462324201,model,28,0.31770601868629456,0.9714346016847544
10,2025-06-20,100,115,call,194.8231344819069,model,15,0.3074004650115967,0.9841584538513091
10,2025-06-24,82,230,call,948.7700879848749,model,148,0.38776400685310364,0.9655325992662754
10,2025-06-25,54,121,call,-507.8069376138955,model,67,0.34148257970809937,0.9606896001065249
10,2025-06-26,112,116,call,-100.13198351860046,model,4,0.3786473572254181,0.9728794122703744
10,2025-06-27,120,195,call,307.5599667006731,model,75,0.3531562089920044,0.9776203474105547
10,2025-06-30,110,165,call,312.9729419723153,model,55,0.32390692830085754,0.9739727124460916
10,2025-07-01,99,125,call,613.0836177450875,model,26,0.3889533281326294,0.9658034865836539
10,2025-07-02,107,150,call,233.40003833770754,model,43,0.3662989139556885,0.9666817792057488
10,2025-07-03,106,195,call,175.56195471063256,model,89,0.4336692690849304,0.310579076566045
10,2025-07-07,84,165,call,-374.9836051687291,model,81,0.4159059226512909,0.9789605131457392
10,2025-07-08,59,240,call,303.1000190801919,model,181,0.3606700301170349,0.9504622091500438
10,2025-07-09,107,140,call,556.7265961469319,model,33,0.3829980492591858,0.9630120285038728
10,2025-07-11,80,150,call,-43.00000183593211,model,70,0.3422550857067108,0.9769605264522925
10,2025-07-15,113,120,call,72.39587076815465,model,7,0.3441998064517975,0.9816827095357553
10,2025-07-16,90,105,call,409.36085051947066,model,15,0.34802600741386414,0.9799000385573847
10,2025-07-17,118,166,call,326.57898623404793,model,48,0.42185699939727783,0.9590850463948022
10,2025-07-18,80,205,call,-631.3117780386187,model,125,0.3551257252693176,0.9872008674878091
10,2025-07-21,116,185,call,-211.12817290211353,model,69,0.43307289481163025,0.981189844410857
10,2025-07-22,120,175,call,-286.04298746632503,model,55,0.35589900612831116,0.9701453987745259
10,2025-07-23,89,262,call,1391.699925302714,model,173,0.418590247631073,0.4793140581642442
10,2025-07-24,103,163,call,-540.5999799162149,model,60,0.4044112265110016,0.9813795498497303
10,2025-07-25,113,128,call,-148.50769617954163,model,15,0.43784698843955994,0.9616493955054395
10,2025-07-28,80,105,call,-196.51338936891068,model,25,0.4306745231151581,0.9571751767521599
10,2025-07-29,77,155,call,-827.2999898128211,model,78,0.43152421712875366,0.9719171361353232
10,2025-07-30,96,215,call,353.54738197677784,model,119,0.314258337020874,0.9563426393643666
10,2025-07-31,83,210,call,-89.07553007580199,model,127,0.30777397751808167,0.97363313627151
10,2025-08-01,114,265,call,-786.6581737310237,model,151,0.3081621527671814,0.9600651363954982
10,2025-08-04,82,177,call,363.1147794059066,model,95,0.3636143207550049,0.9815232014770151
10,2025-08-05,113,266,call,1068.5459056842435,model,153,0.3888862729072571,0.9660192027030118
10,2025-08-06,117,190,call,486.07654259182857,model,73,0.3584478199481964,0.9653328567561046
10,2025-08-07,110,115,call,-379.7335561057077,model,5,0.32257333397865295,0.9735571023742103
10,2025-08-08,109,235,call,98.61159357841716,model,126,0.33380958437919617,0.9686547302806485
10,2025-08-11,102,125,call,114.59996277987956,model,23,0.36960306763648987,0.9742291026559899
10,2025-08-12,33,236,call,2522.624961445729,model,203,0.3406040668487549,0.5560638822720536
